Real,Immediate,Intermediate,Clusters,Barebones
107.0,467.11633,304.47058,274.19073,471.05164
287.0,573.7116,354.2813,382.80722,385.10492
474.0,461.9206,535.52783,515.6984,471.05164
124.0,377.42712,233.00064,273.0347,370.30753
576.0,530.7066,759.8512,690.4977,471.05164
174.0,410.58493,268.3284,228.52408,453.9002
119.0,436.84454,226.31093,160.83015,419.59738
602.0,485.3394,667.3087,657.5893,471.05164
99.0,498.39233,296.89127,278.01535,471.05164
256.0,560.8388,322.58368,418.69278,488.6866
176.0,334.83347,299.61215,320.55493,471.05164
